Title,Runtime,Artist,Album,Genre,spotify_id
You Bring Fire,4:09,Ivoryline,,Rock,6BEqh9gkBHbDo0lUfVLRXz
You Bring Fire,4:09,Ivoryline,Vessels,Rock,6BEqh9gkBHbDo0lUfVLRXz
You Belong With Me,3:51,For All Those Sleeping,Punk Goes Pop 4,Pop,7r4KTWQI5JPPBHmliDFNcN
You Belong Here,4:22,Anberlin,"Dark Is The Way, Light Is A Place",Alternative,4I73Emge5EyQ9mUWEf2Qjm
"You Be the Anchor That Keeps My Feet On the Ground, I'll Be the Wings That Keep Your Heart In the Clouds",4:38,Mayday Parade,A Lesson In Romantics,Alternative,5B7xzzpqgWY6sdiebvEVJA
"You Be Tails, I'll Be Sonic",3:48,A Day to Remember,,,3VMt30BAOV15goRMNPnA3A
"You Be Tails, I'll Be Sonic",3:48,A Day to Remember,What Separates Me From You,,3VMt30BAOV15goRMNPnA3A
You Are You,3:39,BackWordz,Veracity,Metal,2C25CxVMvwvN0t151HpUSt
You Are Not Alone,2:24,The Eagles,Long Road Out Of Eden [Disc 1],Rock,
You and Yours,4:48,Cloudkicker,Let Yourself Be Huge,Rock,6N9M5aQPppbmjoA2XpQ1PT
You and Me in Oceanside,3:27,Gold Necklace,Gold Necklace,Rock,2EOZAiRKVyM7y586ZfBp0F
You and Me,4:02,Yelawolf,Ghetto Cowboy,Hip-Hop/Rap,53QA7j4pHWAtbE3D0Glh7Q
You and Me,3:34,Marc Rebillet,Loop Daddy III,R&B/Soul,0TtqzjTAoUbpxyfl2rvOXe
You Already Know What You Are,1:28,A Day to Remember,,Metal,2e987zxnK14gv7rOCNXmGw
You Already Know What You Are,1:28,A Day to Remember,Homesick,Metal,2e987zxnK14gv7rOCNXmGw
Yonkers,2:53,Yelawolf,Best Of Freestyles,,
Yo Victa,0:12,Victor Wooten,A Show of Hands 15,Jazz,4Gk4Asmjpclk3hEnp7WLRc
Yes I'm Changing,4:31,Tame Impala,Currents,Alternative,0xtIp0lgccN85GfGOekS5L
Yellow Eyes,8:45,Between the Buried and Me,Automata I,Metal,6mdDLmuUd89Oyi8qEfB4YS
Yeah Boy And Doll Face,4:24,Pierce The Veil,A Flair For The Dramatic,Punk,51rIDh0FOCNCFkdbtIOyU0
Yeah 3X,3:59,Allstar Weekend,Punk Goes Pop 4,Pop,1lSOG6MH77TQLSjISklFsR
Yas (feat. Mario Camarena & Erick Hansel),3:23,Polyphia,New Levels New Devils,Prog-Rock/Art Rock,241bD3HXJCfaltbLpyCOkH
Xoxo,1:26,Manuel Gardner Fernandes,Volume II,Rock,3Vom7pmEnNPxJjQv98pD18
XIV,1:52,Born Of Osiris,The Discovery,Metal,6sNLdhpfpEfsHViDNzUqis
Wylie,3:40,Maylene & The Sons Of Disaster,II,Hardcore/Rock/Punk,
Wut the... (Poop),0:11,Chon,Newborn Sun,Rock,23eWVGezrvz66j9Z7oeTZN
Wtf,3:06,Yelawolf & DJ Muggs,Mile Zero,Hip-Hop/Rap,
Write Your Name (Feat. Mona Moua),3:44,Yelawolf,Radioactive,Hip-Hop,
Wrinkle,2:32,Thank You Scientist,Terraformer,Rock,0MmF9xEfaNVgvIOyPcO0aS
Wreckage,3:21,Parkway Drive,Deep Blue,Metalcore,0gMREA9nAh1RD7TZ6WmQA5
Wrap Song,3:07,Yelawolf & M16,Heart Of Dixie,Hip-Hop,
The Woven Web,4:08,Animals As Leaders,The Joy of Motion,Metal,2Lg8cOSLotJIdCMtXLasPH
Wounded Knee,2:26,Primus,Pork Soda,Hard Rock,626L1XPN18MfHjSMpNPQDS
The Worst Of Me,3:35,Saosin,In Search Of Solid Ground,Alternative & Punk,1wiIhmcIU1hJWqEKhcaXcp
Worst Intentions (You Had 'em),3:32,Settle Your Scores,The Wilderness,Rock,6C1SQj6TAxtoYc9OicDfkt
The Worst,4:06,Polyphia,The Most Hated - EP,Alternative,5l3WNlq4rag0fFP0TI9qeJ
World Without A Sun,2:26,"Oh, Sleeper",,Christian Metal,6lXmSzGnZelDfUR7euqv2C
World Without A Sun,2:26,"Oh, Sleeper",Son of the Morning,Christian Metal,6lXmSzGnZelDfUR7euqv2C
World Away,3:39,Emery,I'm Only a Man (Bonus Track Version),Rock,3oZa0iSvL2ALpN77GJxYus
Words of Wisdom,3:08,Victor Wooten,A Show of Hands 15,Jazz,4V65EziQO6MP1vNVw2SGWH
The Word Water,1:45,Cloudkicker,Let Yourself Be Huge,Rock,0W3oBpQFjs0orKyw298LvW
Wonderless,5:41,Pierce The Veil,A Flair For The Dramatic,Punk,4QCczE24wLpDmPJ3qwwEvC
Won't Stop,4:33,Yelawolf,Creek Water,,
Women,3:23,Foreigner,The Very Best of Foreigner,Rock,7aUAjYYt8KKuyQ1jbOLe9z
Wombat Astronaut (Beyond the Burrow),4:25,Plini,The End of Everything - Single,Metal,7AjmuQqH7ocgyyhGKVSnRs
Woman,3:41,Emarosa,Sting,Pop,3rGAu4qRYLgF0hrxyLq7oe
