name,artist,album,spotify_id,duration_ms
Same Ol’ Mistakes,Rihanna,ANTI (Deluxe),6RtzmszGXs32TRhv5zTKNM,397093
Strange Magic,Electric Light Orchestra,All Over The World: The Very Best Of ELO,2Ib1eqrDO3CO0BBeEbk6sG,247746
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,261492
King in My Empire,Rhythm & Sound,With the Artists,5zfR5yKsmAiyiH6AbaNiOY,386240
Evil Eye - Color Red Music,The Magic Beans,Evil Eye,6f6JIKWCCw7LJUyMlVsbBJ,382506
Black List,Prefuse 73,Vocal Studies + Uprock Narratives,0lJHeq3lqQEFB58xxvOR5t,230840
Sir Somebody,Family Company,Sir Somebody,7aHHRCZdz4ZW9tCN3nX5uv,242226
"Morning Dew - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77",Grateful Dead,Cornell 5/8/77 (Live),0shBLNwbMS8i903cWwnwln,857213
"Not Fade Away - Live at Barton Hall, Cornell University, Ithaca, NY 5/8/77",Grateful Dead,Cornell 5/8/77 (Live),49XFUxQEed7pDA1dXGEHbw,980226
"Blow Away - Live at John F. Kennedy Stadium, Philadelphia, PA 7/7/89; 2018 Remaster",Grateful Dead,The Best Of The Grateful Dead Live (2018 Remaster),0k0sVnHYGsSpzvtghpftkE,739200
Serious Drug,Wildcookie,Cookie Dough,3EKzH4moV9wWTkVEdgz91A,175586
It Gets Better,KEY!,777,6P6nVkT40WnIxRItupwfNx,160000
Heart of Courage,Thomas Bergersen,Invincible,4JtvyWkWQTPVcroZf8JJkp,117394
Experience,Ludovico Einaudi,In A Time Lapse,1BncfTJAWxrsxyT9culBrj,315426
Nightshift,Lab Group,Lab Group I,6eL2pPsH6woNeRa8uLT23Q,228000
Showdown,Thin Lizzy,Nightlife,7kSPVqnvUenYmuROkZzPhI,272000
Do Better,LaKeith Stanfield,Do Better,4tGHVUOsOTwdDTR9fkr7Ba,222667
Actavis,Gucci Mane,World War 3 (Lean),1YzcJQ49n5PzTm4xSZqbXm,289044
Servin Lean (feat. PeeWee Longway),Gucci Mane,World War 3 (Lean),7fBnqOAjti6mcoaBIxI8h8,208901
RIP Young,Isaiah Rashad,The House Is Burning [homies begged],4I6RPFvPZgx5Bd8wpPnsq7,158050
Border Lord,Kris Kristofferson,Border Lord,38QlfcOrXgzpdqaUk7guD1,217213
Kokopelli,Bug Mane,The Division Bug,24UdaSbfK0CBVTPawWU59C,111000
Hard Time Killing Floor Blues,Chris Thomas King,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",3rlPaBlRjyNKHzJsvKV6dP,162426
Get With the Program,Doug Shorts,Casual Encounter,3NbaiY6PT4y3STPvYPuItL,245280
Get To You - Mersiv Remix,Saint Sinner,Get To You (Mersiv Remix),5g12zzpoeylAgBZ09ixD6o,278709
Dear Doctor,The Rolling Stones,Beggars Banquet,3wVsmRZBgFRr3KWbvD5Zp7,201586
Vámonos,Lettuce,Unify,0eew5RObFRtYEbOSMOIpIw,352043
"Montana - Live From Edinboro, PA - May 8, 1974",Frank Zappa,Montana / Village Of The Sun / You Didn't Try To Call Me (Live),316sgAz0zj0UevMl6uVdlG,471053
West Coast,Lana Del Rey,Ultraviolence (Deluxe),5Y6nVaayzitvsD5F7nr3DV,256760
Boogie Pilgrim - Remastered 2017,Elton John,Jewel Box,1eeHCtJNNhfsv6sbEMpTWW,367693
ETERNAL PATIENCE,Lil Bo Weep,SOLOS,63OPh3MoCqB74CZnVqXo4q,233287
Big Tweed,The Electric Peanut Butter Company,"Trans-Atlantic Psych Classics, Vol.2",04By48kExy6OGSvkjQhW6p,214906
Kountdown,Pablo Queu,Deep in the Pocket,5eUgpwD2bSS3cPmva64TIW,224971
Yoppa,Falside,Relentless and Unforgiving,25x1QghDA4dV19WSXkT7CW,174474
Treehouse,Nappy Nina,The Tree Act,2EKinOlinqoCwPWedjPsDh,134674
Velvet,Tree Theater,Haven,1cxCa7BCC2VgIcN55b08rt,215433
late nite,[bsd.u],pook,0320Znq32w8HZjo8tMQjBI,73758
"Sugaree - Live at the Fox Theatre, St. Louis, MO 12/10/71",Grateful Dead,"Fox Theatre, St. Louis, MO (12/10/71) [Live]",0BonuoM0q1NvKm6tY9S8uo,529248
18 Wheels on a Big Rig,Trout Fishing in America,Mine!,3AIoMfHVaIxr1AOoMtHCVd,130693
Strawberry,Andrew Montana,Strawberry,0VB2DbuUCBkDuD5ZMJxPJN,189200
Something in the Orange,Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,228013
Don't Just Sit Here and Drink Yourself to Death,Ezra Bell,Farewell Griffin,5yqEdgJawICKIDA5cQZBOn,143986
I Think I Like When It Rains,WILLIS,Locals 2,5S5u0EWtlblH00iTNExZ6X,278293
Astrovan,Mt. Joy,Mt. Joy,14e46mURUUwB3i2vTe1gFz,186133
Long Strange Trip...,Cisco Adler,Long Strange Trip...,6vso25ZkwAAm2rtDhsqrAF,192306
INTRO: COMING OUT HARD,Duke Deuce,Duke Nukem,7FZAOiBlguuY6aRBXetPUd,158313
Pounds,Chill Children,BACKWHEN,16TmFbChPRVzNZOlGylxDS,144102
Shake,Benji.,"Smile, You're Alive!",3DaqOa44fhTRJuISSzbzfw,260359
East Side Bounce,Benji.,"Smile, You're Alive!",0AAb0IQAiVVk8fsHqoMKyy,208906
Baptize (with JID & EARTHGANG feat. Ant Clemons),Spillage Village,Spilligion,5zWOqc9si4XnemdxZH4WGG,293873
The Illusion,Ikebe Shakedown,Stone by Stone,5OZo5In5sFx8Ug8RHW6efs,213000
Velcro,Dopapod,Dopapod,4kAf3ybb0PXMn2eQVW8x0m,273333
Dance Now (feat. Kenny Mason),JID,The Forever Story,6wj7wjtegmkziorQ2tt5Pz,227555
Tuk Tuk (feat. ÄTNA) - Jackmaster & Skream Remix,Solomun,"Nobody Is Not Loved, Remixes, Pt. 5",6Pba6dEl2ackt0R582ssfn,475500
Love Like Me,Billy Strings,Home,4Zpc4c1BrvJMu9LTyP9t9Z,171800
Sandworms,David Matthews,Dune,16TZWy1jJLGAvmOgb40H2m,298680
I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,5LxvwujISqiB8vpRYv887S,176333
People Get Up And Drive Your Funky Soul - Remix,James Brown,Motherlode,5U3i59kbTLrxo46TU1FRnF,544640
You Can Have Watergate Just Gimme Some Bucks And l'll Be Straight,The J.B.'s,Funky Good Time: The Anthology,5lEPwvRjWmLfEbbAfEQrGt,210826
Same Beat,Fred Wesley & The J.B.'s,Funky Good Time: The Anthology,6OA6AUR987PDyTp3uXLOUb,465733
(It's Not The Express) It's The J.B.'s Monaurail - Pts. 1 & 2 / Single Version,The J.B.'s,Funky Good Time: The Anthology,2dkzNsB54bvk6kf8r5Rc2k,494466
me Roll,Motorbike James,VIISIONS,5iKk9fIX3Drw8oFfnVEDSj,230649
1000 Blunts,Hippie Sabotage,Red Moon Rising,2APoLwJrH9XOgi7DKD4WoF,227579
Next Level Style,Artifakts,Next Level Style,0gHSTedEgju8bv1IsDRF0D,223073
16zz - MCH Remix,Magic City Hippies,16zz (MCH Remix),1qfPWDVuFnDIBTgVXQztV8,290729
HELLUTALMBOUT,Rizz Capolatti,HELLUTALMBOUT,1bmBclxIMTqrOs8CoysR5B,148349
Istbu (I'll Shoot This Bitch Up),Shooter McShootem,Istbu (I'll Shoot This Bitch Up),6cT79IuwxAmiMjI6384zDf,188342
LIL BIT,Kaelin Ellis,THE FUNK WILL PREVAIL,29N9AppxSC5zhz7q7GZcAY,109036
THE CALM,Kaelin Ellis,THE FUNK WILL PREVAIL,2O6AgyJRdWKecDU5z4OGbS,97385
I Know That,Brilliantes Del Vuelo,Late Night Tales: Khruangbin,0XulKJA4eRQZBGx2dwV8jD,320337
Golden,Kiefer,Superbloom,3172JIFwJJzkLbfP1g9IUh,190791
Defender of the Oleander,Brant Bjork,Jalamanta,32TyHtUK3ug4wnQolN12Er,478533
BLACK CAT,ayrtn,CRACK,7CdcHleDQmcB3TFTQO9Vd5,179379
Gostosinho,VHOOR,Baile & Sauce,5zV2JsADJjUrArzlyjDFNc,138351
La Cumbia de los Monjes,Ritmo Y Sabor,Latino,03ITeFvMvTRpTC92WsQWw5,202000
Cumbia De La Alberca,Soñadores,Super Sonidero,1T1zO9VcsmC1vPBeY12zKD,189160
intres-ting,Clairmont The Second,intres-ting,4Zsk0wRmvyY50mr1RmBIS8,137872
Funky Worm,Ohio Players,Pleasure,4UDgg6XL6hRkR7naHh6kze,161023
Just Play It By Ear,A. Slade,The Petroleum Sex Tapes,7KZCNivmCLUNBb108zOVPP,90225
pookie brain,A. Slade,The Petroleum Sex Tapes,4ygMTzD61Ca8b7NMaNv6lG,179294
Pale Blue Dot,Big Wild,Superdream,3XmNMIucTYuXOEpAjcaeVi,176000
Eagle Energy,Sango,SHANGO,4I2CYdf0kwexdhFFLbBrem,91319
Speed Machine,Thammuz,Into the Great Unknown,5QpGDOdofu3JHZSd9NLLak,248511
Untitled #7 - Jacobs Studio Sessions,Sigur Rós,Untitled #7 (Jacobs Studio Sessions),17qdiZM4yr9uLFuM21hIfA,669030
Diamonds Slap'd Up Version,A. Slade,The Petroleum Sex Tapes,7ee9uvSq1iSy44gmka04Nm,228750
THE HAMMER,The Comet Is Coming,Hyper-Dimensional Expansion Beam,1aa9z8TqZSTEhfL8lntZqT,186372
SAUCE,REASON,New Beginnings,0y6zN729H9Vti6RgnOeWyJ,178118
Servin Fiendz,Amber London,"Greatest Hits, Vol. 1",2fctTXu2z1sCsjsjTOczMG,184633
Renaissance Forever,Natia,10k Hours,25Kf3CHRZmSY6l2hq0qmcF,178567
Droogs,NxWorries,Link Up & Suede,2XHouWEiXbXB7m50ybUG8h,304906
Move,Nate Oberman,Move,7vM77fzwAt3rYfDOZBLbxP,206564
Green Light (feat. Key Glock),Young Dolph,Rich Slave (Deluxe),7aIMRiR7lyfdxgAa4G73mn,163012
Pause,Cal Scruby,House in the Hills,2E4SwOpQF3l8o5A8h9eof8,220689
Soldier of Love,Sade,Soldier of Love,0bgsj8kz5zWbQ6njk2Oqoz,356653
All Your'n,Tyler Childers,Country Squire,0fCwTrRNfoNk962ati8n2K,218280
2012,Joey Purp,QUARTERTHING,2hJf188Sz3XxfBDmYK1IMC,183880
Ghetto Ballin',La Chat,Murder She Spoke,7u9WD7QybOVswwCvQ8eWsk,167200
Watch Yo Back,Dj Smokey,Adventures in Nightmare Land,73kg0a3FMc3fdkr6tjYum3,272587
Sorry 4 What? // LV BELT,Tory Lanez,Sorry 4 What,0AyA2lHB4YnQUNa8Y6NNjm,154632
Phat Rabbit,Ludacris,Back For The First Time,4sjzqWBQ1gdsi7TGo7brjX,299826
Southern Hospitality (Featuring Pharrell),Ludacris,Back For The First Time,4cNhx6OO1XpvwT6xZnb83B,300933
Daze of Bur-Na,Big Bur-Na,Nothin' but the Cavi Hit: G-Funk Favorites,5IV0nfxvpWuRPpmTw7SLh3,298562
Didn't You,Lettuce,Didn't You,51RS0cE9EwwWCS3ii2KVxD,224666
I’m Tight,Louis Cole,Quality Over Opinion,6GHf5R3t8dmNid0oPB4yUM,420613
Yellow Gold,Green Piccolo,Yellow Gold,0ybDjeNMKWu6fOpP7prQ8E,174037
Tracphone,Latrell James,Tracphone,5dMHeQAGLqNBNv6zegpmZy,193288
Parking Lot Pimpin',Forever Golden,Gold,6uu1E0SqqBueSMvEYurgI1,192000
Clear Blue Skies,Juggaknots,Re:Release,7f8dNc5pNiwCZIX6A7uYKB,235293
Trip Around Saturn,Little Stranger,Trip Around Saturn,1kUowdKaXBRhdB0lINmIHC,176889
American tterroristt,RXKNephew,Crack Therapy 3,0ZMI0JL8jU98SxGb27gkaR,584045
"Little Red Rooster - Live at JFK Stadium, Philadelphia, PA, July 7, 1989",Grateful Dead,"Crimson, White & Indigo: July 7 1989, JFK Stadium, Philadelphia (Live)",4L8U7El87Y75WTGot943ar,572360
Mexico,CAKE,Prolonging the Magic,2McT9smAArZgp6jKdLnL0X,206400
Ride Away,Daygo Fatts,Ride Away,0mW1gSqp65ahWD7RJJMWA5,158784
Freak,JIL,Emotional Heat 4A Cold Generation,6vvyGQg3g71ZEAGHyYvM2X,222175
ALL NIGHT,Tisoki,01953,70Qlewy7XO46zijMHSjbOG,172137
Get Tight,The String Cheese Incident,Believe,2CDv4O5IHklJUjVWGIhS4q,249466
Parking Lot Pimpin',Forever Golden,Gold,6uu1E0SqqBueSMvEYurgI1,192000
