name,artist,album,spotify_id,duration_ms
Come a Little Closer,Cage The Elephant,Melophobia,4sebUbjqbcgDSwG6PbSGI0,229346
Trouble,Cage The Elephant,Tell Me I'm Pretty,5n0CTysih20NYdT2S0Wpe8,225973
Cold Cold Cold,Cage The Elephant,Tell Me I'm Pretty,1Q3t9fWvHUXKsMmpD2XpUu,214386
You're So Dark,Arctic Monkeys,One For The Road,40DwUg5zPX8H23WpTdD2iW,182751
Cold Hard Bitch,Jet,Get Born,5u6fnmRO5V0PTl5M2Eekeu,243200
Gold on the Ceiling,The Black Keys,El Camino,5lN1EH25gdiqT1SFALMAq1,224333
What's My Age Again?,blink-182,Enema Of The State,4LJhJ6DQS7NwE7UKtvcM52,148360
Lifestyles of the Rich & Famous,Good Charlotte,The Young and The Hopeless,2g2a5kDeZexbUTD8abcvm6,190173
Girl All the Bad Guys Want,Bowling For Soup,Drunk Enough To Dance,0KqyBk4aVT88TEqBIC8mAP,197800
High School Never Ends - Main Version - Explicit,Bowling For Soup,The Great Burrito Extortion Case,1bhjMY5O0ZjB41OHcdRH0a,209040
Flavor Of The Weak,American Hi-Fi,American Hi-Fi,1UkMAtLU8NxsddE7j4zXGO,188840
99 Red Balloons,Goldfinger,Stomping Ground,0rOTMSSa6yscfOrGnzfheM,229173
What I Got,Sublime,Sublime,3B4q6KbHbGV51HO3GznBFF,170906
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),3ZOEytgrvLwQaqXreDs2Jx,269000
Thank God for Girls,Weezer,Weezer (White Album),5uywMR3hTeVPoWaFDSliJb,210186
King of the World,Weezer,Weezer (White Album),5vBuxtwitUimHR2gBOnJYR,204480
Girl Crush,New Politics,Vikings,1Nh3lQFZsnyCmFPCK93avB,174333
Slumber Party (feat. Princess Nokia),Ashnikko,DEMIDEVIL,11ZulcYY4lowvcQm4oe3VJ,178404
Sugar Daddy,Qveen Herby,EP 8,2ViSWfhT0kvEulXA1HH7Wk,203809
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",4kV4N9D1iKVxx1KLvtTpjS,190440
Pink Panther,Scene Queen,Bimbocore,32ljWqOxw3ckyuaUc882F6,142018
