user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
AaronLatestTest,37wUWrhQ5csSUxHTr59Q6z,Hands I Can Hold,Ziggy Alberts,Land & Sea,2014-12-11,57,188681,False,spotify:track:37wUWrhQ5csSUxHTr59Q6z,Unknown,0.539,0.432,0,-10.702,1,0.0526,0.832,3.82e-05,0.563,0.353,124.765,audio_features,https://api.spotify.com/v1/tracks/37wUWrhQ5csSUxHTr59Q6z,https://api.spotify.com/v1/audio-analysis/37wUWrhQ5csSUxHTr59Q6z,4
AaronLatestTest,30a5DDL7xq347S143EoOPp,letting go,Ziggy Alberts,searching for freedom,2021-03-19,55,267000,False,spotify:track:30a5DDL7xq347S143EoOPp,Unknown,0.718,0.303,7,-10.382,1,0.034,0.87,8.51e-05,0.108,0.376,118.43,audio_features,https://api.spotify.com/v1/tracks/30a5DDL7xq347S143EoOPp,https://api.spotify.com/v1/audio-analysis/30a5DDL7xq347S143EoOPp,4
AaronLatestTest,58uBXXmWLDeezlYx2uGeC0,Runaway,Ziggy Alberts,Runaway,2015-10-09,63,272733,False,spotify:track:58uBXXmWLDeezlYx2uGeC0,Unknown,0.752,0.498,5,-11.937,1,0.0412,0.333,0.000134,0.351,0.505,109.993,audio_features,https://api.spotify.com/v1/tracks/58uBXXmWLDeezlYx2uGeC0,https://api.spotify.com/v1/audio-analysis/58uBXXmWLDeezlYx2uGeC0,4
AaronLatestTest,0vp1sk3FzuDBeLMLcRhQdL,HANDSOMER (Remix) (Feat. Ktlyn),Russ,HANDSOMER (Remix) (Feat. Ktlyn),2022-03-09,68,143415,True,spotify:track:0vp1sk3FzuDBeLMLcRhQdL,Unknown,0.891,0.62,8,-6.822,1,0.157,0.176,1.59e-06,0.103,0.535,82.035,audio_features,https://api.spotify.com/v1/tracks/0vp1sk3FzuDBeLMLcRhQdL,https://api.spotify.com/v1/audio-analysis/0vp1sk3FzuDBeLMLcRhQdL,4
AaronLatestTest,7I8ftQPSknxqIH8jiuh6iv,All I've Ever Known,Bahamas,Bahamas Is Afie,2014-08-19,51,375973,False,spotify:track:7I8ftQPSknxqIH8jiuh6iv,Unknown,0.681,0.202,5,-11.16,1,0.0317,0.688,0.247,0.108,0.254,126.05,audio_features,https://api.spotify.com/v1/tracks/7I8ftQPSknxqIH8jiuh6iv,https://api.spotify.com/v1/audio-analysis/7I8ftQPSknxqIH8jiuh6iv,4
AaronLatestTest,3uiAhGo09Xd3BvadUaeIqb,Game Of Fools,Ryan Wilcox,Just To Feel The Fire,2021-10-29,39,219159,False,spotify:track:3uiAhGo09Xd3BvadUaeIqb,Unknown,0.598,0.661,2,-7.717,1,0.037,0.027,5.38e-05,0.117,0.273,112.979,audio_features,https://api.spotify.com/v1/tracks/3uiAhGo09Xd3BvadUaeIqb,https://api.spotify.com/v1/audio-analysis/3uiAhGo09Xd3BvadUaeIqb,4
AaronLatestTest,6mlqBATFPrEcg3EC9GYcm8,Van Gogh,Pony Bradshaw,Sudden Opera,2019-06-21,65,172840,False,spotify:track:6mlqBATFPrEcg3EC9GYcm8,Unknown,0.505,0.443,7,-5.91,0,0.0287,0.159,0,0.113,0.553,150.186,audio_features,https://api.spotify.com/v1/tracks/6mlqBATFPrEcg3EC9GYcm8,https://api.spotify.com/v1/audio-analysis/6mlqBATFPrEcg3EC9GYcm8,4
AaronLatestTest,5MO0UtyOvEgRWSIZCuPIP9,Blood Moon,Josiah and the Bonnevilles,Blood Moon,2022-07-01,26,168065,False,spotify:track:5MO0UtyOvEgRWSIZCuPIP9,Unknown,0.653,0.398,8,-9.519,1,0.0284,0.64,0.000142,0.0944,0.438,133.037,audio_features,https://api.spotify.com/v1/tracks/5MO0UtyOvEgRWSIZCuPIP9,https://api.spotify.com/v1/audio-analysis/5MO0UtyOvEgRWSIZCuPIP9,4
AaronLatestTest,11xeawurZXUDqRPxCasaDt,Jamie (feat. Charles Wesley Godwin),Zach Bryan,Summertime Blues,2022-07-15,63,220057,False,spotify:track:11xeawurZXUDqRPxCasaDt,Unknown,0.425,0.31,4,-7.545,0,0.0327,0.733,0,0.106,0.249,119.196,audio_features,https://api.spotify.com/v1/tracks/11xeawurZXUDqRPxCasaDt,https://api.spotify.com/v1/audio-analysis/11xeawurZXUDqRPxCasaDt,5
AaronLatestTest,5Sd8elg0RhT0r33Ol456Zu,Take Me Home,Tanner Usrey,Take Me Home,2022-08-19,39,209279,False,spotify:track:5Sd8elg0RhT0r33Ol456Zu,Unknown,0.593,0.444,7,-8.054,1,0.0293,0.181,3.76e-06,0.125,0.392,78.848,audio_features,https://api.spotify.com/v1/tracks/5Sd8elg0RhT0r33Ol456Zu,https://api.spotify.com/v1/audio-analysis/5Sd8elg0RhT0r33Ol456Zu,1
AaronLatestTest,7mbh2BQ3xEWjeR9xwR9OPV,North Georgia Rounder,Pony Bradshaw,"North Georgia Rounder, Ch. 1 - 2",2022-10-28,7,288840,False,spotify:track:7mbh2BQ3xEWjeR9xwR9OPV,Unknown,0.508,0.391,2,-10.844,1,0.0341,0.386,0.000995,0.14,0.484,184.974,audio_features,https://api.spotify.com/v1/tracks/7mbh2BQ3xEWjeR9xwR9OPV,https://api.spotify.com/v1/audio-analysis/7mbh2BQ3xEWjeR9xwR9OPV,4
AaronLatestTest,6N7FFwu2DQer3wB7rEmm6u,From a Lover's Point of View,Zach Bryan,Elisabeth,2020-05-08,66,184500,True,spotify:track:6N7FFwu2DQer3wB7rEmm6u,Unknown,0.676,0.1,5,-13.527,1,0.0519,0.882,5.47e-06,0.142,0.411,77.99,audio_features,https://api.spotify.com/v1/tracks/6N7FFwu2DQer3wB7rEmm6u,https://api.spotify.com/v1/audio-analysis/6N7FFwu2DQer3wB7rEmm6u,4
AaronLatestTest,0qoSVsQJOTINFkkux2lbJj,Summertime Blues,Zach Bryan,Summertime Blues,2022-07-07,66,181239,False,spotify:track:0qoSVsQJOTINFkkux2lbJj,Unknown,0.552,0.411,1,-7.946,1,0.0434,0.794,3.5e-06,0.248,0.501,78.095,audio_features,https://api.spotify.com/v1/tracks/0qoSVsQJOTINFkkux2lbJj,https://api.spotify.com/v1/audio-analysis/0qoSVsQJOTINFkkux2lbJj,4
