user_id,id,name,artist,album,release_date,popularity,duration_ms,explicit,uri,album_genre,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,track_href,analysis_url,time_signature
clayton,14sDzaqoSmpyqXkyaDDtyi,The Hook,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,49,69960,False,spotify:track:14sDzaqoSmpyqXkyaDDtyi,Unknown,soundtrack,0.242,0.112,7,-22.153,1,0.0389,0.938,0.88,0.109,0.0345,83.904,audio_features,https://api.spotify.com/v1/tracks/14sDzaqoSmpyqXkyaDDtyi,https://api.spotify.com/v1/audio-analysis/14sDzaqoSmpyqXkyaDDtyi,4
clayton,1I7MQWuGQPxuEplPwEhj8i,Tamatoa's Lair,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,44,165947,False,spotify:track:1I7MQWuGQPxuEplPwEhj8i,Unknown,soundtrack,0.255,0.238,1,-15.966,1,0.0523,0.663,0.841,0.523,0.0569,140.311,audio_features,https://api.spotify.com/v1/tracks/1I7MQWuGQPxuEplPwEhj8i,https://api.spotify.com/v1/audio-analysis/1I7MQWuGQPxuEplPwEhj8i,4
clayton,1IZwCzAmaFmmdJj0cmhaax,Shiny,Jemaine Clement,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,66,185467,False,spotify:track:1IZwCzAmaFmmdJj0cmhaax,Unknown,Unknown,0.641,0.68,0,-7.64,1,0.23,0.482,0,0.101,0.574,146.116,audio_features,https://api.spotify.com/v1/tracks/1IZwCzAmaFmmdJj0cmhaax,https://api.spotify.com/v1/audio-analysis/1IZwCzAmaFmmdJj0cmhaax,4
clayton,1TS55Vgmn2rwNvaNFP4ZTj,You're Welcome - Demo,Lin-Manuel Miranda,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,40,157360,False,spotify:track:1TS55Vgmn2rwNvaNFP4ZTj,Unknown,broadway,0.782,0.56,0,-7.915,1,0.228,0.362,0,0.29,0.408,135.168,audio_features,https://api.spotify.com/v1/tracks/1TS55Vgmn2rwNvaNFP4ZTj,https://api.spotify.com/v1/audio-analysis/1TS55Vgmn2rwNvaNFP4ZTj,4
clayton,1ayBtR0Zu8vtNLjRs0sl0U,It's Called Wayfinding - Score Demo,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,38,53373,False,spotify:track:1ayBtR0Zu8vtNLjRs0sl0U,Unknown,soundtrack,0.558,0.494,9,-18.879,1,0.0323,0.185,0.981,0.146,0.577,128.082,audio_features,https://api.spotify.com/v1/tracks/1ayBtR0Zu8vtNLjRs0sl0U,https://api.spotify.com/v1/audio-analysis/1ayBtR0Zu8vtNLjRs0sl0U,4
clayton,1ehPJRt49h6N0LoryqKZXq,How Far I'll Go - Alessia Cara Version,Alessia Cara,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,66,175507,False,spotify:track:1ehPJRt49h6N0LoryqKZXq,Unknown,canadian contemporary r&b,0.31,0.54,9,-9.629,1,0.346,0.163,0.000129,0.0713,0.148,180.994,audio_features,https://api.spotify.com/v1/tracks/1ehPJRt49h6N0LoryqKZXq,https://api.spotify.com/v1/audio-analysis/1ehPJRt49h6N0LoryqKZXq,4
clayton,1hVanDiOYB9WLcRDbyo9xo,The Return to Voyaging,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,43,61987,False,spotify:track:1hVanDiOYB9WLcRDbyo9xo,Unknown,soundtrack,0.556,0.624,9,-10.639,1,0.0341,0.492,0.655,0.104,0.223,112.723,audio_features,https://api.spotify.com/v1/tracks/1hVanDiOYB9WLcRDbyo9xo,https://api.spotify.com/v1/audio-analysis/1hVanDiOYB9WLcRDbyo9xo,4
clayton,1p5dAU2s6kekj05gRVImTH,Heartache,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,43,39253,False,spotify:track:1p5dAU2s6kekj05gRVImTH,Unknown,soundtrack,0.17,0.05,9,-27.055,0,0.0421,0.991,0.951,0.0719,0.0646,124.618,audio_features,https://api.spotify.com/v1/tracks/1p5dAU2s6kekj05gRVImTH,https://api.spotify.com/v1/audio-analysis/1p5dAU2s6kekj05gRVImTH,4
clayton,1pjsyVQfEsVT3GBo6HB8YX,Kakamora - Score Demo,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,38,238427,False,spotify:track:1pjsyVQfEsVT3GBo6HB8YX,Unknown,soundtrack,0.348,0.727,1,-12.048,1,0.0778,0.13,0.864,0.142,0.282,167.821,audio_features,https://api.spotify.com/v1/tracks/1pjsyVQfEsVT3GBo6HB8YX,https://api.spotify.com/v1/audio-analysis/1pjsyVQfEsVT3GBo6HB8YX,4
clayton,1xSEPN2WYdq8xrAXpCG9CO,Te Fiti Restored,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,44,63347,False,spotify:track:1xSEPN2WYdq8xrAXpCG9CO,Unknown,soundtrack,0.347,0.838,6,-8.783,0,0.0995,0.554,0.957,0.0813,0.0786,131.757,audio_features,https://api.spotify.com/v1/tracks/1xSEPN2WYdq8xrAXpCG9CO,https://api.spotify.com/v1/audio-analysis/1xSEPN2WYdq8xrAXpCG9CO,3
clayton,1ytmdDK5IqzTGhmEc4gHIt,Hand of a God,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,41,30093,False,spotify:track:1ytmdDK5IqzTGhmEc4gHIt,Unknown,soundtrack,0.349,0.139,3,-13.141,1,0.0468,0.914,0.0969,0.12,0.0776,120.115,audio_features,https://api.spotify.com/v1/tracks/1ytmdDK5IqzTGhmEc4gHIt,https://api.spotify.com/v1/audio-analysis/1ytmdDK5IqzTGhmEc4gHIt,3
clayton,1z5UFKy8gJpVDf09lCtPOr,Sails to Te Fiti - Score Demo,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,37,97787,False,spotify:track:1z5UFKy8gJpVDf09lCtPOr,Unknown,soundtrack,0.394,0.397,0,-13.946,0,0.0417,0.214,0.93,0.0863,0.151,123.216,audio_features,https://api.spotify.com/v1/tracks/1z5UFKy8gJpVDf09lCtPOr,https://api.spotify.com/v1/audio-analysis/1z5UFKy8gJpVDf09lCtPOr,4
clayton,23LqDcaYel42gfSJ05tsC0,Toe Feiloa'i,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,42,85333,False,spotify:track:23LqDcaYel42gfSJ05tsC0,Unknown,soundtrack,0.19,0.645,11,-8.593,1,0.0405,0.884,0.888,0.116,0.0437,115.388,audio_features,https://api.spotify.com/v1/tracks/23LqDcaYel42gfSJ05tsC0,https://api.spotify.com/v1/audio-analysis/23LqDcaYel42gfSJ05tsC0,3
clayton,29GNq0bPjVrqpISQGwj8Yx,Logo Te Pate,Olivia Foa'i,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,61,130173,False,spotify:track:29GNq0bPjVrqpISQGwj8Yx,Unknown,movie tunes,0.73,0.804,11,-7.183,1,0.0636,0.27,5.45e-05,0.0699,0.897,137.899,audio_features,https://api.spotify.com/v1/tracks/29GNq0bPjVrqpISQGwj8Yx,https://api.spotify.com/v1/audio-analysis/29GNq0bPjVrqpISQGwj8Yx,4
clayton,2CBm77LCNuHLiEhnmiZnHm,Sea Monsters - Score Demo,Mark Mancina,Moana (Original Motion Picture Soundtrack/Deluxe Edition),2016-11-18,37,45040,False,spotify:track:2CBm77LCNuHLiEhnmiZnHm,Unknown,soundtrack,0.261,0.354,0,-16.634,1,0.081,0.565,0.8,0.116,0.175,149.375,audio_features,https://api.spotify.com/v1/tracks/2CBm77LCNuHLiEhnmiZnHm,https://api.spotify.com/v1/audio-analysis/2CBm77LCNuHLiEhnmiZnHm,5
