name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Go Robot,Red Hot Chili Peppers,The Getaway,5m578MgxuEC956dulprCe8,263800,False,spotify:track:5m578MgxuEC956dulprCe8,Unknown,0.852,0.651,8,-6.254,1,0.0411,0.0432,0.0192,0.158,0.96,131.01,4
Aeroplane,Red Hot Chili Peppers,One Hot Minute (Deluxe Edition),0VLdJcQUsqHBBwqPp4CIKJ,285066,True,spotify:track:0VLdJcQUsqHBBwqPp4CIKJ,Unknown,0.639,0.839,5,-4.703,1,0.0634,0.0446,3.74e-06,0.468,0.603,101.447,4
Hump de Bump,Red Hot Chili Peppers,Stadium Arcadium,5f2ZVFERwwh3asebmurZEf,213093,False,spotify:track:5f2ZVFERwwh3asebmurZEf,Unknown,0.685,0.971,9,-3.153,0,0.0362,0.142,7.04e-06,0.0689,0.899,111.926,4
Suck My Kiss,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),0psB5QzGb4653K0uaPgEyh,217133,True,spotify:track:0psB5QzGb4653K0uaPgEyh,Unknown,0.623,0.936,0,-9.955,1,0.0528,0.000617,9.86e-05,0.269,0.705,101.514,4
Trip Switch,Nothing But Thieves,Nothing But Thieves (Track by Track),13QI6bq0U8HMK7gUpAwFBK,181146,False,spotify:track:13QI6bq0U8HMK7gUpAwFBK,Unknown,0.65,0.807,10,-4.157,0,0.0698,0.0197,0.00611,0.094,0.77,88.475,4
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),64BbK9SFKH2jk86U3dGj2P,255373,False,spotify:track:64BbK9SFKH2jk86U3dGj2P,Unknown,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),48UPSzbZjgc449aqz8bxox,329733,False,spotify:track:48UPSzbZjgc449aqz8bxox,Unknown,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
Snow (Hey Oh),Red Hot Chili Peppers,Stadium Arcadium,2aibwv5hGXSgw7Yru8IYTO,334666,False,spotify:track:2aibwv5hGXSgw7Yru8IYTO,Unknown,0.427,0.9,11,-3.674,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,4
Dani California,Red Hot Chili Peppers,Stadium Arcadium,10Nmj3JCNoMeBQ87uw5j8k,282160,False,spotify:track:10Nmj3JCNoMeBQ87uw5j8k,Unknown,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4
Basket Case,Green Day,Dookie,6L89mwZXSOwYl76YXfX13s,181533,False,spotify:track:6L89mwZXSOwYl76YXfX13s,Unknown,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,4
Somebody Told Me,The Killers,Hot Fuss,6PwjJ58I4t7Mae9xfZ9l9v,197200,False,spotify:track:6PwjJ58I4t7Mae9xfZ9l9v,Unknown,0.497,0.97,10,-4.851,0,0.0836,9.04e-05,0.000674,0.101,0.689,138.081,4
When You Were Young,The Killers,Sam's Town,70wYA8oYHoMzhRRkARoMhU,220426,False,spotify:track:70wYA8oYHoMzhRRkARoMhU,Unknown,0.467,0.988,11,-3.313,1,0.112,0.000152,0.0484,0.28,0.321,130.433,4
Mr. Brightside,The Killers,Hot Fuss,003vvx7Niy0yvhvHt4a68B,222973,False,spotify:track:003vvx7Niy0yvhvHt4a68B,Unknown,0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,4
Smile Like You Mean It,The Killers,Hot Fuss,3KANrKOFYyAxfjQJHkgBdb,234106,False,spotify:track:3KANrKOFYyAxfjQJHkgBdb,Unknown,0.346,0.965,3,-4.255,0,0.146,0.000461,0.012,0.214,0.384,125.043,4
Take Me Out,Franz Ferdinand,Franz Ferdinand,20I8RduZC2PWMWTDCZuuAN,237026,False,spotify:track:20I8RduZC2PWMWTDCZuuAN,Unknown,0.277,0.663,4,-8.821,0,0.0377,0.000409,0.00051,0.136,0.527,104.561,4
Are You Gonna Be My Girl,Jet,Get Born,305WCRhhS10XUcH6AEwZk6,213800,False,spotify:track:305WCRhhS10XUcH6AEwZk6,Unknown,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,4
No You Girls,Franz Ferdinand,Tonight,4VP8QiCeaZq8BeTIUrMQOG,223786,False,spotify:track:4VP8QiCeaZq8BeTIUrMQOG,Unknown,0.677,0.916,2,-4.102,0,0.0296,0.0086,7.68e-05,0.0967,0.878,104.78,4
Here It Goes Again,OK Go,Oh No,1pHP4JeQV9wDx87D6qH9hD,179813,False,spotify:track:1pHP4JeQV9wDx87D6qH9hD,Unknown,0.537,0.882,0,-2.306,1,0.0403,0.000342,9.06e-05,0.12,0.81,145.729,4
Tell Me Baby,Red Hot Chili Peppers,Stadium Arcadium,0itNMuBHye9fu392b4e9oa,247666,False,spotify:track:0itNMuBHye9fu392b4e9oa,Unknown,0.695,0.993,0,-3.114,1,0.0612,0.00177,0.00246,0.0814,0.281,107.951,4
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),1FTSo4v6BOZH9QxKc3MbVM,121160,False,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,Unknown,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.00708,0.0753,0.918,129.802,4
Seven Nation Army,The White Stripes,Elephant,3dPQuX8Gs42Y7b454ybpMR,232106,False,spotify:track:3dPQuX8Gs42Y7b454ybpMR,Unknown,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
Pretty Fly (For A White Guy),The Offspring,Americana,3SFXsFpeGmBTtQvKiwYMDA,188666,False,spotify:track:3SFXsFpeGmBTtQvKiwYMDA,Unknown,0.723,0.895,11,-3.707,0,0.102,0.088,0,0.0717,0.963,143.373,4
Feel Good Inc.,Gorillaz,Demon Days,0d28khcov6AiegSCpG5TuT,222640,False,spotify:track:0d28khcov6AiegSCpG5TuT,Unknown,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4
Clint Eastwood,Gorillaz,Gorillaz,7yMiX7n9SBvadzox8T5jzT,340920,True,spotify:track:7yMiX7n9SBvadzox8T5jzT,Unknown,0.663,0.694,10,-8.627,0,0.171,0.0253,0,0.0698,0.525,167.953,4
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),1G391cbiT3v3Cywg8T7DM1,215906,False,spotify:track:1G391cbiT3v3Cywg8T7DM1,Unknown,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4
Obsession,OK Go,Hungry Ghosts,4wOMCd0BNGbafudqSZ70it,188057,False,spotify:track:4wOMCd0BNGbafudqSZ70it,Unknown,0.757,0.567,9,-5.171,1,0.0612,0.000987,0.00565,0.119,0.498,104.011,4
Upside Down & Inside Out,OK Go,Hungry Ghosts,31hqP5oGX2M2z4ayh97jHl,187866,False,spotify:track:31hqP5oGX2M2z4ayh97jHl,Unknown,0.559,0.817,0,-4.95,1,0.104,0.00222,0,0.87,0.546,92.544,4
White Knuckles,OK Go,Of the Blue Colour of the Sky,5cYJ1vLxc9zhcGvAPWm2ff,198520,False,spotify:track:5cYJ1vLxc9zhcGvAPWm2ff,Unknown,0.721,0.72,2,-4.672,1,0.102,0.0022,0.0069,0.044,0.585,115.058,4
This Too Shall Pass,OK Go,Of the Blue Colour of the Sky,3l9eeEd5NABrvYRzXIVqwK,188120,False,spotify:track:3l9eeEd5NABrvYRzXIVqwK,Unknown,0.43,0.661,5,-3.43,1,0.0434,5.34e-05,0.0063,0.135,0.386,160.032,4
All Is Not Lost,OK Go,Of the Blue Colour of the Sky,4NLggGzf6jqmlEWanWb22L,163520,False,spotify:track:4NLggGzf6jqmlEWanWb22L,Unknown,0.508,0.954,2,-2.971,1,0.123,0.0242,0.000325,0.13,0.33,125.132,4
Needing/Getting,OK Go,Of the Blue Colour of the Sky,5L3kSqirfUPmpmJeBR2Juu,313760,False,spotify:track:5L3kSqirfUPmpmJeBR2Juu,Unknown,0.475,0.91,2,-4.28,1,0.0698,0.00152,0.0284,0.292,0.226,94.933,3
