name,artist,album,spotify_id,duration_ms
Doobie In My Pocket,Keller Williams,Odd,2LPPD44Hy0AoX4wONP4Fdn,212333
Short Change Hero,The Heavy,The House That Dirt Built,7JOizhmt3HlBgQyJEa0AgK,322266
Broken Bones,KALEO,A/B,0lwUIYJfWGB8qUEAJtYfb6,245960
Why Do I Do,Rehab,Gullible's Travels,34OvgW2v6G66oD1jPDDEc8,212186
Caress Me Down,Sublime,Sublime,2JKlf0IYz5oWsT3OCLyjpO,211560
Say It Ain't So,Weezer,Weezer (Deluxe Edition),4YPhn26bIFm2KUkL1VLzQG,256880
Fast Times,Ballyhoo!,Fast Times,76gAQCXjXs8ybpOSeOD8cD,203503
A Whole Lotta Soul,Tab Benoit,Medicine,5zNKpqf7p44wU2cmaphmBk,330186
Sell Out,Reel Big Fish,Turn The Radio Off,6SJ1hWFVBIiUgGgHKvwXCQ,227493
Can You Feel It (feat. Wiz Khalifa),Sublime With Rome,Yours Truly (Deluxe Edition),6vhRmymsQaWhVegaK7aTDe,216160
My Favorite Wine Is Tequila,Michael Franti & Spearhead,SOULROCKER,4m8UmRu9HqKblDthvSNh0z,248666
Rosarito,Long Beach Dub Allstars,Right Back,7ctpNQKu62e7ijC1Wm4cEU,188240
New Orleans Is Sinking,The Tragically Hip,Up To Here,3OhWrQhh39X9skRILIYZmt,257440
Fiddler's Green,The Tragically Hip,Yer Favourites (International Version),5MoVV8OUxsScTE7XsazW8Z,266426
Ain't No Sunshine / Harder To Breathe,Noah Guthrie,"The Covers, Vol. 3",7vSZpsYHIXFcHhHMaawOuC,215484
Hurricane,The Band Of Heathens,Top Hat Crown & the Clapmaster's Son,3s5NrHgyTkuinl0TgHCHeK,319227
Scared of Change,Rehab,Gullible's Travels,6sAkcj5rgNe1PiXoh4xufG,213333
Workin' Man Blues,Albert Cummings,Working Man,24HiMX0GtixmOoCA6IXecA,237213
The Sun Is Shining Down,JJ Grey & Mofro,Brighter Days,1lA8QavrtORS63K9KIrRsu,553426
Through the Fire and Flames,DragonForce,Inhuman Rampage (Special Edition),0xBQnGsChRBb4FIz9vN01U,441013
People Are Strange,The Doors,Strange Days,1Jmqubf9kGkWeYQXQKImL5,130173
Dirtfloorcracker,JJ Grey & Mofro,Brighter Days,6gCePDp4IjWhlSf0OU9U1H,257066
This River,JJ Grey & Mofro,This River,0Om11wBNyPV12mNQaB3Xhn,319400
The Devil Named Music,Chris Stapleton,Traveller,4TXPkmCU3BsRpidTQjOp9a,367493
Tryin' To Untangle My Mind,Chris Stapleton,From A Room: Volume 2,0b5eGJurmVg0niGBgYkoAG,194920
Hang Me Up To Dry,Cold War Kids,Robbers & Cowards,3IXRdLsQib8m0hBbQpe7T8,218786
Lost In The Cold,Twiddle,PLUMP (Chapters 1 & 2),09WTQoXMDWiiPXTwOJzoIq,273186
99 Problems,Hugo,Old Tyme Religion,7hN5TKSdRb56uytwIpcUES,137426
Might As Well Get Stoned,Chris Stapleton,Traveller,0DBYW9lHjTTz55gIt63IB9,277066
I Lived It,Blake Shelton,Texoma Shore,5slddJ629YcePvqD6Uyk8r,219600
Long As I Can See The Light,Creedence Clearwater Revival,The Complete Collection (Digital Box) [Standard],2GErE47NBbMLchOBirYuHW,210866
The Sun Is Shining Down,JJ Grey & Mofro,Country Ghetto,6AmsWE75a3H4g3GxjE34dM,358306
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,2RlgNHKcydI9sayD2Df2xp,303373
The Rubberband Man,The Spinners,The Very Best of the Spinners,4Q5HmyNvQHlfylzGY7V3Wr,215109
Brandy (You're a Fine Girl),Looking Glass,Looking Glass,2BY7ALEWdloFHgQZG6VMLA,186826
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),2EqlS6tkEnglzr7tkKAAYD,259946
Hooked On A Feeling,Blue Swede,Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd,172866
Spirit in the Sky,Norman Greenbaum,The Original Hit Recording - Spirit in the Sky,1CnTAkLCWL8Uvsr1BDiX8F,240906
Bring It On Home to Me,Sam Cooke,The Man Who Invented Soul,0WVTQp3SOCuMr08jh1jweV,162533
Sideways,Citizen Cope,The Clarence Greenwood Recordings,6ZixnWzzH1YxqBg9kLOPDy,322186
Africa,Weezer,Africa,36Pim2ANczp82lCWIb8GHy,238148
Come and Get Your Love,Redbone,Wovoka,23hrvdvkIi1X1voQG2bJH9,300666
Drinkin' Tonight,The Supervillains,Postcards from Paradise,2uIHbGPZtzNwHbj20lc1ZD,185893
Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),7iN1s7xHE4ifF5povM6A48,243026
Crossroads,Adam Calhoun,AmerAcal,0fTx5ET8US1Bh33OBFeugm,156213
