name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Gonna Leave You,Queens of the Stone Age,Songs For The Deaf,70cpuGFNENOHuqNhtLVFJY,170200,False,spotify:track:70cpuGFNENOHuqNhtLVFJY,Unknown,0.369,0.895,11,-4.183,0,0.0648,0.02,0.9,0.245,0.371,141.506,3
Schizophrenia,Sonic Youth,Sister,22t3vCXfjQhIiXzGVSZNOz,278400,False,spotify:track:22t3vCXfjQhIiXzGVSZNOz,Unknown,0.356,0.696,2,-11.461,1,0.0366,0.19,0.867,0.104,0.562,134.66,4
Surf's Up,Psychedelic Porn Crumpets,"High Visceral, Pt. 1",0NBcMaT9LFP0CQ87NqTiVC,193026,False,spotify:track:0NBcMaT9LFP0CQ87NqTiVC,Unknown,0.495,0.883,0,-4.604,0,0.0359,0.00014,0.000445,0.287,0.755,102.473,4
Psychomatic,The Vines,Wicked Nature,3ut5AR80zVBxauB227w7ro,122951,False,spotify:track:3ut5AR80zVBxauB227w7ro,Unknown,0.484,0.879,2,-4.263,1,0.0579,0.000561,0.438,0.528,0.732,142.05,4
Incinerate,Sonic Youth,Rather Ripped,0lDoG5fQ9cmpvpenwR7Jln,295813,False,spotify:track:0lDoG5fQ9cmpvpenwR7Jln,Unknown,0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172,4
Tally-Ho,Psychedelic Porn Crumpets,SHYGA! The Sunlight Mound,58rgkzdvaIWZu4ee1aXg3k,202121,False,spotify:track:58rgkzdvaIWZu4ee1aXg3k,Unknown,0.343,0.911,11,-5.167,0,0.109,0.000408,0.0896,0.455,0.461,161.958,4
Doom City,King Gizzard & The Lizard Wizard,Flying Microtonal Banana,593oiw0CtNIzQXbhxP8Q29,194080,False,spotify:track:593oiw0CtNIzQXbhxP8Q29,Unknown,0.299,0.834,6,-5.73,1,0.0564,0.356,0.128,0.137,0.352,161.293,1
Phantom,Justice,Justice,2weNFSRqkClXtfBPTteafY,262266,False,spotify:track:2weNFSRqkClXtfBPTteafY,Unknown,0.627,0.48,2,-4.462,1,0.0652,0.00817,0.014,0.179,0.102,117.009,4
One Minute To Midnight,Justice,Justice,6R0o9mEwZsYtqZsQrXYVOO,220933,False,spotify:track:6R0o9mEwZsYtqZsQrXYVOO,Unknown,0.638,0.651,0,-7.392,1,0.191,0.0283,0.805,0.0883,0.368,121.974,4
If Only,Queens of the Stone Age,Queens of the Stone Age,60wTHSJ0PxxwZDiSLiFaQX,202680,False,spotify:track:60wTHSJ0PxxwZDiSLiFaQX,Unknown,0.597,0.892,5,-4.484,0,0.0297,0.0716,0.195,0.0797,0.939,126.066,4
Gallop to Southport,Psychedelic Porn Crumpets,"High Visceral, Pt. 1",2acY3t1ZKAi3t6xVjWVktd,153840,False,spotify:track:2acY3t1ZKAi3t6xVjWVktd,Unknown,0.413,0.913,2,-6.304,1,0.0857,0.00183,0.117,0.0828,0.281,174.865,4
Black Tooth,King Gizzard & The Lizard Wizard,Willoughby's Beach,6PuyikqU5MDcv2Ayhxh62T,150720,False,spotify:track:6PuyikqU5MDcv2Ayhxh62T,Unknown,0.273,0.874,1,-5.442,0,0.047,0.000221,5.63e-05,0.186,0.565,99.429,3
Part III,Crumb,Jinx,49ztutPq82dK8AYDO2OkN7,222920,False,spotify:track:49ztutPq82dK8AYDO2OkN7,Unknown,0.334,0.506,1,-8.779,1,0.0281,0.2,0.862,0.228,0.183,83.803,4
God Is In The Radio,Queens of the Stone Age,Songs For The Deaf,1dVWz4VM5QkgzHLjFEKM4u,364924,False,spotify:track:1dVWz4VM5QkgzHLjFEKM4u,Unknown,0.521,0.686,1,-5.532,0,0.046,0.121,0.474,0.577,0.381,116.119,4
Ghostride,Crumb,Jinx,0R3TWpoxAhT3HDXM7tpRzS,126120,False,spotify:track:0R3TWpoxAhT3HDXM7tpRzS,Unknown,0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,4
Patience,Tame Impala,The Slow Rush B-Sides & Remixes,5yezqGSOStEpRtMPdvs36o,292267,False,spotify:track:5yezqGSOStEpRtMPdvs36o,Unknown,0.545,0.859,1,-5.966,1,0.0304,0.00219,0.00115,0.0529,0.647,99.966,4
Heart In a Cage,The Strokes,First Impressions Of Earth,3mYCd23hPxJW5okSvMoy3x,206173,False,spotify:track:3mYCd23hPxJW5okSvMoy3x,Unknown,0.418,0.857,8,-5.133,1,0.0404,2.73e-06,0.805,0.368,0.12,140.02,4
Ugo,The Dead Pirates,Ugo,20yNjjGAAROnXoANUjI3JY,358740,False,spotify:track:20yNjjGAAROnXoANUjI3JY,Unknown,0.25,0.707,4,-6.118,1,0.0304,0.011,0.712,0.152,0.262,90.081,4
Crucifire,Desert Sessions,Vols. 11 & 12,65pViNCJx3iVQBmi28FNqi,104610,False,spotify:track:65pViNCJx3iVQBmi28FNqi,Unknown,0.331,0.904,6,-6.297,0,0.0407,0.00629,0.275,0.413,0.923,154.675,4
High Visceral,Psychedelic Porn Crumpets,"High Visceral, Pt. 1",33nIAkg5UqyXSmfRpfKW3V,151960,False,spotify:track:33nIAkg5UqyXSmfRpfKW3V,Unknown,0.494,0.862,9,-7.913,0,0.0304,0.00422,0.904,0.0791,0.493,114.961,3
She's A Big Boy,Mcbaise,She's A Big Boy,47X95Rup7LOEaVIHWlkRUT,280225,False,spotify:track:47X95Rup7LOEaVIHWlkRUT,Unknown,0.688,0.307,0,-10.726,1,0.0852,0.623,0.357,0.11,0.513,149.543,4
Antimatter Man,Man Or Astro-Man?,Defcon 5...4...3...2...1,6pLfrcn8DfDLW0tV3UYFjE,155763,False,spotify:track:6pLfrcn8DfDLW0tV3UYFjE,Unknown,0.298,0.946,4,-6.534,1,0.0754,0.00573,0.873,0.224,0.316,91.279,4
When in Rome,Psychedelic Porn Crumpets,And Now for the Whatchamacallit,4fLmmPQ2FRVWdGG6tiYPba,231973,False,spotify:track:4fLmmPQ2FRVWdGG6tiYPba,Unknown,0.233,0.852,2,-5.096,1,0.0551,3.08e-06,0.832,0.377,0.164,165.054,3
Hot Wax,King Gizzard & The Lizard Wizard,Oddments,6S1TC3ESLe7PbrztzsQmw4,209011,False,spotify:track:6S1TC3ESLe7PbrztzsQmw4,Unknown,0.518,0.892,1,-6.917,1,0.0638,0.108,0.00199,0.323,0.771,132.973,4
Glamorous Damage,GUM,Glamorous Damage,6Jl9Z1PASkZwPmfdAw5dVm,94500,False,spotify:track:6Jl9Z1PASkZwPmfdAw5dVm,Unknown,0.297,0.772,1,-3.806,1,0.249,0.000467,0,0.0575,0.608,112.953,4
Am I Going Up?,All Them Witches,Sleeping Through The War,6639kPw67cfz3rNHgAWhdr,333933,False,spotify:track:6639kPw67cfz3rNHgAWhdr,Unknown,0.532,0.611,7,-8.95,1,0.0271,0.00749,0.512,0.116,0.261,106.957,4
Ignore Alien Orders,Nick Johnston,Remarkably Human,2mg6zAWaIpMF2PIrOQcHXu,228013,False,spotify:track:2mg6zAWaIpMF2PIrOQcHXu,Unknown,0.323,0.745,4,-7.055,1,0.0667,0.495,0.889,0.356,0.203,103.82,3
Remarkably Human,Nick Johnston,Remarkably Human,1yKRrR2oPVLUm6upovLq3x,398386,False,spotify:track:1yKRrR2oPVLUm6upovLq3x,Unknown,0.438,0.781,3,-6.19,0,0.0441,0.0421,0.839,0.104,0.11,144.849,4
